1,2,0,0,249,40,6,28,1,1,249
1,2,0,0,307,43,1,5,1,1,307
1,2,0,0,326,41,2,14,1,1,326
1,3,11,66,158,33,10,30,1,3,158
1,3,3,17,116,24,13,48,2,4,116
0,4,34,101,34,10,6,18,1,3,34
1,3,3,18,163,40,5,18,2,2,163
1,4,23,92,121,21,6,22,1,4,121
1,2,0,0,229,33,4,21,1,1,229
0,3,23,110,101,21,5,7,1,2,101
0,2,0,0,50,8,3,10,2,1,50
1,4,33,107,35,11,7,19,1,5,35
1,4,16,89,90,28,14,57,1,7,90
0,3,16,79,17,8,4,7,1,4,17
1,4,25,156,85,19,7,20,1,4,85
1,3,25,115,125,19,7,42,1,3,125
1,4,28,104,39,16,13,36,2,6,39
0,4,39,189,21,5,2,12,1,4,21
0,4,31,101,28,13,10,21,1,3,28
1,2,8,39,194,36,6,14,1,1,194
0,4,34,142,37,10,6,23,1,5,37
1,3,27,110,118,17,7,39,3,3,118
1,4,18,94,90,26,13,58,1,7,90
0,2,0,0,51,9,4,20,1,1,51
1,4,28,101,44,16,7,23,1,5,44
1,2,15,71,203,29,8,48,1,1,203
1,4,20,86,109,24,19,89,4,7,109
0,4,33,102,34,11,4,15,1,3,34
0,4,34,176,21,10,5,11,1,5,21
0,2,0,0,128,16,4,32,1,1,128
1,4,15,55,112,29,5,22,2,3,112
0,4,32,143,40,12,5,16,1,3,40
0,4,28,112,45,16,4,11,1,3,45
1,2,0,0,94,30,7,20,1,1,94
1,4,24,95,61,20,8,20,1,6,61
0,4,36,147,14,8,8,14,1,6,14
1,2,1,8,309,43,5,29,1,1,309
0,4,30,104,38,14,6,18,1,5,38
1,2,0,0,240,30,3,24,1,1,240
0,3,30,207,31,5,2,12,1,2,31
0,4,28,136,71,16,7,23,1,4,71
1,3,18,48,118,26,7,20,1,3,118
1,2,14,45,153,30,3,4,1,1,153
0,4,33,93,52,11,5,27,1,5,52
1,2,14,63,137,30,11,21,1,1,137
1,2,0,0,179,26,6,26,1,1,179
0,4,22,76,43,22,12,27,1,5,43
1,3,1,6,206,41,3,11,1,2,206
0,4,33,100,34,11,5,18,1,3,34
0,4,27,91,30,17,17,30,3,6,30
1,2,0,0,192,30,5,19,1,1,192
0,4,29,113,41,15,9,23,3,3,41
1,3,5,17,56,28,6,8,1,2,56
0,4,41,140,4,3,3,4,1,5,4
0,2,0,0,125,17,5,35,1,1,125
0,3,15,72,57,28,7,21,1,4,57
1,2,0,0,127,33,9,24,1,1,127
1,4,10,31,181,34,11,51,1,5,181
1,2,0,0,116,37,4,7,1,1,116
